score,scoreAlt,standard,stdText,charge240,cylinders,displ,drive,engId,eng_dscr,feScore,fuelType,hlv,hpv,lv2,lv4,make,model,pv2,pv4,trany,VClass,year,trans_dscr,atvType,startStop,Barrels,City,Co2,comb,Highway,Charger,ghgScoreavg
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,6.0,3.3,Rear-Wheel Drive,263,FFV,4,Gasoline or E85,0,0,0,0,Ford,F150 2WD FFV BASE PAYLOAD LT TIRE,0,0,Automatic (S6),Standard Pickup Trucks 2WD,2018,,FFV,Y,18.159017857142857,33,816,37,43,0,4.5
5.0,-1.0,T3B85,Federal Tier 3 Transitional Bin 85,0.0,4.0,1.8,Front-Wheel Drive,53,,6,Regular,0,0,19,0,Chevrolet,Sonic 5,91,0,Manual 5-spd,Small Station Wagons,2018,,,N,10.25896551724138,26,305,29,35,0,6.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,1.8,Front-Wheel Drive,51,,6,Regular,0,0,19,0,Chevrolet,Sonic 5,91,0,Automatic (S6),Small Station Wagons,2018,,,N,10.625357142857142,25,310,28,34,0,6.0
3.0,-1.0,U2,California LEV-II ULEV,0.0,4.0,2.0,All-Wheel Drive,348,,8,Diesel,0,0,0,28,BMW,328d xDrive Sports Wagon,0,97,Automatic (S8),Small Station Wagons,2018,,Diesel,N,10.505735294117647,30,302,34,40,T,6.0
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,12.0,6.6,Rear-Wheel Drive,6,SIDI,1,Premium,0,0,0,14,Rolls-Royce,Ghost EWB,0,117,Automatic (S8),Large Cars,2018,,,N,21.250714285714285,12,633,14,18,T,1.0
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,12.0,6.6,Rear-Wheel Drive,5,SIDI,1,Premium,0,0,0,14,Rolls-Royce,Ghost,0,111,Automatic (S8),Large Cars,2018,,,N,21.250714285714285,12,633,14,18,T,1.0
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,12.0,6.7,Rear-Wheel Drive,2,SIDI,1,Premium,0,0,0,15,Rolls-Royce,Phantom EWB,0,127,Automatic (S8),Large Cars,2018,,,N,21.250714285714285,12,622,14,19,T,1.0
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,12.0,6.7,Rear-Wheel Drive,1,SIDI,1,Premium,0,0,0,15,Rolls-Royce,Phantom,0,116,Automatic (S8),Large Cars,2018,,,N,21.250714285714285,12,622,14,19,T,1.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,6.0,3.0,4-Wheel Drive,521,SIDI,4,Premium,0,0,0,12,Mercedes-Benz,S450 4matic,0,112,Automatic 9-spd,Large Cars,2018,,,Y,13.52318181818182,18,407,22,28,T,4.0
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,6.0,3.0,Rear-Wheel Drive,520,SIDI,4,Premium,0,0,0,12,Mercedes-Benz,S450,0,112,Automatic 9-spd,Large Cars,2018,,,Y,13.52318181818182,19,402,22,28,T,4.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,6.0,3.6,All-Wheel Drive,353,SIDI,4,Regular,0,0,0,18,Cadillac,XTS AWD,0,104,Automatic (S6),Large Cars,2018,,,N,14.8755,17,443,20,26,0,4.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,6.0,3.6,Front-Wheel Drive,331,SIDI,4,Regular,0,0,0,18,Cadillac,XTS,0,104,Automatic (S6),Large Cars,2018,,,N,13.52318181818182,19,403,22,28,0,4.0
