score,scoreAlt,standard,stdText,charge240,cylinders,displ,drive,engId,eng_dscr,feScore,fuelType,hlv,hpv,lv2,lv4,make,model,pv2,pv4,trany,VClass,year,trans_dscr,atvType,startStop,Barrels,City,Co2,comb,Highway,Charger,ghgScoreavg
7.0,-1.0,T3B30,Federal Tier 3 Bin 30,0.0,6.0,3.0,4-Wheel Drive,774,SIDI; Mild Hybrid,5,Premium,0,0,0,0,Jaguar,F-Pace P400 MHEV,0,0,Automatic (S8),Small Sport Utility Vehicle 4WD,2022,,Hybrid,Y,13.52318181818182,19,407,22,26,0,5.0
1.0,-1.0,T3B160,Federal Tier 3 Bin 160,0.0,6.0,3.5,Rear-Wheel Drive,65,SIDI & PFI; FFV,3,Gasoline or E85,0,0,0,0,Ford,Transit T150 Wagon 2WD FFV,0,0,Automatic (S10),"Vans, Passenger Type",2022,,FFV,N,22.823088235294115,26,1046,29,34,0,3.0
1.0,-1.0,T3B160,Federal Tier 3 Bin 160,0.0,6.0,3.5,All-Wheel Drive,64,SIDI & PFI; FFV,3,Gasoline or E85,0,0,0,0,Ford,Transit T150 Wagon 4WD FFV,0,0,Automatic (S10),"Vans, Passenger Type",2022,,FFV,N,23.916874999999997,25,1089,28,32,0,3.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,4.0,2.0,All-Wheel Drive,245,SIDI,5,Premium,0,0,0,12,Mercedes-Benz,AMG GLA45 4matic,0,102,Automatic (AM8),Small Station Wagons,2022,,,Y,13.52318181818182,19,408,22,25,T,5.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,4.0,2.0,All-Wheel Drive,210,SIDI,5,Premium,0,0,12,0,Mercedes-Benz,AMG CLA45 4matic,89,0,Automatic (AM8),Compact Cars,2022,,,Y,12.935217391304349,20,391,23,28,T,5.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,6.0,3.5,Rear-Wheel Drive,167,SIDI & PFI,2,Premium,0,0,0,0,Ford,GT,43,0,Automatic (AM7),Two Seaters,2022,,,N,21.250714285714285,12,631,14,18,T,2.0
6.0,-1.0,T3B50,Federal Tier 3 Bin 50,0.0,4.0,2.0,Front-Wheel Drive,203,SIDI,6,Regular,0,0,0,23,Nissan,Rogue Sport,0,96,Automatic (AV-S8),Small Station Wagons,2022,,,N,10.625357142857142,25,317,28,32,0,6.0
6.0,-1.0,T3B50,Federal Tier 3 Bin 50,0.0,4.0,2.0,All-Wheel Drive,201,SIDI,6,Regular,0,0,0,23,Nissan,Rogue Sport AWD,0,96,Automatic (AV-S8),Small Station Wagons,2022,,,N,11.018888888888888,24,329,27,30,0,6.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,4.0,2.4,All-Wheel Drive,25,SIDI,4,Premium,0,0,0,12,Subaru,WRX,0,99,Automatic (AV-S8),Midsize Cars,2022,,,N,14.167142857142858,19,418,21,25,T,4.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,4.0,2.4,All-Wheel Drive,24,SIDI,5,Premium,0,0,0,12,Subaru,WRX,0,99,Manual 6-spd,Midsize Cars,2022,,,N,13.52318181818182,19,406,22,26,T,5.0
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,8.0,5.0,Rear-Wheel Drive,80,,3,Regular,0,0,11,0,Ford,Mustang Convertible,80,0,Automatic (S10),Subcompact Cars,2022,,,Y,16.528333333333336,15,496,18,23,0,3.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Rear-Wheel Drive,79,SIDI,5,Regular,0,0,12,0,Ford,Mustang HO Convertible,85,0,Automatic (S10),Subcompact Cars,2022,,,Y,13.52318181818182,19,403,22,26,T,5.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Rear-Wheel Drive,78,SIDI,5,Regular,0,0,11,0,Ford,Mustang Convertible,80,0,Automatic (S10),Subcompact Cars,2022,,,Y,12.935217391304349,20,385,23,28,T,5.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Rear-Wheel Drive,77,SIDI,5,Regular,0,0,11,0,Ford,Mustang Convertible,80,0,Manual 6-spd,Subcompact Cars,2022,,,N,12.935217391304349,20,385,23,27,T,5.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Rear-Wheel Drive,76,SIDI,5,Regular,0,0,11,0,Ford,Mustang Convertible,80,0,Automatic 10-spd,Subcompact Cars,2022,,,Y,12.935217391304349,20,385,23,28,T,5.0
5.0,-1.0,L3ULEV70,California LEV-III ULEV70,0.0,4.0,2.3,Rear-Wheel Drive,75,SIDI,4,Regular,0,0,12,0,Ford,Mustang HO Convertible,85,0,Manual 6-spd,Subcompact Cars,2022,,,N,14.167142857142858,19,422,21,25,T,4.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,8.0,5.0,Rear-Wheel Drive,74,,3,Regular,0,0,14,0,Ford,Mustang Mach 1,83,0,Manual 6-spd,Subcompact Cars,2022,,,N,17.500588235294117,14,522,17,22,0,3.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,8.0,5.0,Rear-Wheel Drive,73,,3,Regular,0,0,14,0,Ford,Mustang Mach 1,83,0,Automatic (S10),Subcompact Cars,2022,,,Y,16.528333333333336,15,492,18,23,0,3.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,8.0,5.0,Rear-Wheel Drive,72,,4,Regular,0,0,13,0,Ford,Mustang,83,0,Automatic (S10),Subcompact Cars,2022,,,Y,15.65842105263158,15,478,19,24,0,4.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,8.0,5.0,Rear-Wheel Drive,71,,3,Regular,0,0,13,0,Ford,Mustang,83,0,Manual 6-spd,Subcompact Cars,2022,,,N,16.528333333333336,15,499,18,24,0,3.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Rear-Wheel Drive,70,SIDI,5,Regular,0,0,12,0,Ford,Mustang HO Coupe,85,0,Automatic (S10),Subcompact Cars,2022,,,Y,12.935217391304349,20,385,23,27,T,5.0
5.0,-1.0,L3ULEV70,California LEV-III ULEV70,0.0,4.0,2.3,Rear-Wheel Drive,69,SIDI,5,Regular,0,0,13,0,Ford,Mustang,83,0,Automatic (S10),Subcompact Cars,2022,,,Y,11.9004,21,353,25,32,T,5.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Rear-Wheel Drive,68,SIDI,5,Regular,0,0,12,0,Ford,Mustang HO Coupe,85,0,Manual 6-spd,Subcompact Cars,2022,,,N,13.52318181818182,20,395,22,27,T,5.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Rear-Wheel Drive,67,SIDI,5,Regular,0,0,13,0,Ford,Mustang,83,0,Manual 6-spd,Subcompact Cars,2022,,,N,12.39625,21,372,24,29,T,5.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Rear-Wheel Drive,66,SIDI,5,Regular,0,0,13,0,Ford,Mustang,83,0,Automatic 10-spd,Subcompact Cars,2022,,,Y,11.9004,22,349,25,32,T,5.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,6.0,3.5,All-Wheel Drive,521,SIDI & PFI; Hybrid,4,Premium,0,0,0,0,Acura,NSX Hybrid,0,0,Automatic (AM-S9),Two Seaters,2022,,Hybrid,Y,14.167142857142858,21,419,21,22,T,4.0
7.0,-1.0,L3SULEV30,California LEV-III SULEV30,0.0,6.0,3.6,All-Wheel Drive,540,,4,Regular,0,0,0,0,Jeep,Grand Cherokee WK 4WD,0,0,Automatic 8-spd,Standard Sport Utility Vehicle 4WD,2022,,,Y,14.167142857142858,18,426,21,25,0,4.0
7.0,-1.0,T3B30,Federal Tier 3 Bin 30,0.0,6.0,3.6,All-Wheel Drive,528,,4,Regular,0,0,0,0,Dodge,Durango AWD,0,0,Automatic 8-spd,Standard Sport Utility Vehicle 4WD,2022,,,Y,14.167142857142858,18,426,21,25,0,4.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,6.0,3.0,All-Wheel Drive,506,SIDI,4,Premium,0,0,0,0,Acura,MDX AWD Type-S,0,0,Automatic (S10),Standard Sport Utility Vehicle 4WD,2022,,,Y,15.65842105263158,17,473,19,21,T,4.0
7.0,-1.0,T3B30,Federal Tier 3 Bin 30,0.0,6.0,3.6,Rear-Wheel Drive,539,,4,Regular,0,0,0,0,Jeep,Grand Cherokee WK 2WD,0,0,Automatic 8-spd,Standard Sport Utility Vehicle 2WD,2022,,,Y,14.167142857142858,19,413,21,26,0,4.0
7.0,-1.0,L3SULEV30,California LEV-III SULEV30,0.0,6.0,3.6,Rear-Wheel Drive,526,,4,Regular,0,0,0,0,Dodge,Durango RWD,0,0,Automatic 8-spd,Standard Sport Utility Vehicle 2WD,2022,,,Y,14.167142857142858,19,413,21,26,0,4.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.0,Rear-Wheel Drive,403,SIDI,5,Premium,0,0,0,0,Alfa Romeo,Stelvio,0,0,Automatic 8-spd,Small Sport Utility Vehicle 2WD,2022,,,Y,11.9004,22,358,25,29,T,5.0
7.0,-1.0,T3B30,Federal Tier 3 Bin 30,0.0,4.0,1.6,Front-Wheel Drive,106,,7,Regular,25,93,0,0,Nissan,Kicks,0,0,Automatic (variable gear ratios),Midsize Cars,2022,,,N,9.015454545454546,31,268,33,36,0,7.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.5,4-Wheel Drive,316,SIDI,5,Regular,20,93,0,0,Mazda,3 5-Door 4WD,0,0,Automatic (S6),Midsize Cars,2022,,,N,11.442692307692308,23,336,26,31,T,5.0
7.0,-1.0,T3B30,Federal Tier 3 Bin 30,0.0,4.0,2.5,4-Wheel Drive,314,SIDI,6,Regular,20,93,0,0,Mazda,3 5-Door 4WD,0,0,Automatic (S6),Midsize Cars,2022,,,N,11.018888888888888,25,325,27,31,0,6.0
7.0,-1.0,L3SULEV30,California LEV-III SULEV30,0.0,4.0,2.5,Front-Wheel Drive,313,SIDI,6,Regular,20,93,0,0,Mazda,3 5-Door 2WD,0,0,Automatic (S6),Midsize Cars,2022,,,N,10.25896551724138,26,305,29,34,0,6.0
7.0,-1.0,L3SULEV30,California LEV-III SULEV30,0.0,4.0,2.5,Front-Wheel Drive,312,SIDI,6,Regular,20,93,0,0,Mazda,3 5-Door 2WD,0,0,Manual 6-spd,Midsize Cars,2022,,,N,11.018888888888888,24,322,27,33,0,6.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.5,4-Wheel Drive,315,SIDI,6,Regular,0,0,0,13,Mazda,3 4-Door 4WD,0,93,Automatic (S6),Compact Cars,2022,,,N,11.018888888888888,23,333,27,32,T,6.0
7.0,-1.0,T3B30,Federal Tier 3 Bin 30,0.0,4.0,2.5,4-Wheel Drive,311,SIDI,6,Regular,0,0,0,13,Mazda,3 4-Door 4WD,0,93,Automatic (S6),Compact Cars,2022,,,N,10.625357142857142,25,319,28,33,0,6.0
7.0,-1.0,T3B30,Federal Tier 3 Bin 30,0.0,4.0,2.5,Front-Wheel Drive,305,SIDI,6,Regular,0,0,0,13,Mazda,3 4-Door 2WD,0,93,Automatic (S6),Compact Cars,2022,,,N,9.917,26,299,30,35,0,6.0
7.0,-1.0,T3B30,Federal Tier 3 Bin 30,0.0,4.0,2.0,Front-Wheel Drive,302,SIDI,7,Regular,0,0,0,13,Mazda,3 4-Door 2WD,0,93,Automatic (S6),Compact Cars,2022,,,N,9.597096774193547,28,286,31,36,0,7.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,4.0,2.0,Rear-Wheel Drive,402,SIDI,6,Premium,0,0,0,0,Mazda,MX-5,0,0,Automatic (S6),Two Seaters,2022,,,N,9.917,26,298,30,35,0,6.0
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,4.0,2.0,Rear-Wheel Drive,401,SIDI,6,Premium,0,0,0,0,Mazda,MX-5,0,0,Manual 6-spd,Two Seaters,2022,,,N,10.25896551724138,26,304,29,34,0,6.0
1.0,-1.0,T3B160,Federal Tier 3 Bin 160,0.0,12.0,6.5,All-Wheel Drive,91,,1,Premium,0,0,0,0,Lamborghini,Aventador Countach,0,0,Automatic (AM-S7),Two Seaters,2022,,,Y,27.04636363636364,9,786,11,16,0,1.0
1.0,-1.0,T3B160,Federal Tier 3 Bin 160,0.0,12.0,6.5,All-Wheel Drive,90,,1,Premium,0,0,0,0,Lamborghini,Aventador Roadster,0,0,Automatic (AM-S7),Two Seaters,2022,,,Y,27.04636363636364,9,801,11,16,0,1.0
10.0,-1.0,ZEV,California ZEV,12.5,,,All-Wheel Drive,902,,10,Electricity,0,0,0,35,Mercedes-Benz,EQS 580 4matic,0,103,Automatic (A1),Large Cars,2022,,EV,Y,0.0863999999999999,92,-1,95,99,0,10.0
10.0,-1.0,ZEV,California ZEV,14.0,,,All-Wheel Drive,74,,10,Electricity,0,0,0,0,Tesla,Model X Plaid (22in Wheels),0,0,Automatic (A1),Standard Sport Utility Vehicle 4WD,2022,,EV,N,0.0887999999999999,94,-1,91,88,0,10.0
10.0,-1.0,T3B0,Federal Tier 3 Bin 0,14.0,,,All-Wheel Drive,76,,10,Electricity,0,0,0,0,Tesla,Model X Plaid (20in Wheels),0,0,Automatic (A1),Standard Sport Utility Vehicle 4WD,2022,,EV,N,0.0815999999999999,103,-1,98,93,0,10.0
10.0,-1.0,ZEV,California ZEV,14.0,,,All-Wheel Drive,73,,10,Electricity,0,0,0,0,Tesla,Model X,0,0,Automatic (A1),Standard Sport Utility Vehicle 4WD,2022,,EV,N,0.0791999999999999,107,-1,102,97,0,10.0
10.0,-1.0,ZEV,California ZEV,11.8,,,All-Wheel Drive,47,,10,Electricity,0,0,0,0,Tesla,Model Y Performance AWD,0,0,Automatic (A1),Small Sport Utility Vehicle 4WD,2022,,EV,N,0.072,115,-1,111,106,0,10.0
10.0,-1.0,ZEV,California ZEV,11.5,,,All-Wheel Drive,45,,10,Electricity,0,0,0,0,Tesla,Model Y Long Range AWD,0,0,Automatic (A1),Small Sport Utility Vehicle 4WD,2022,,EV,N,0.0672,127,-1,122,117,0,10.0
10.0,-1.0,ZEV,California ZEV,8.0,,,Rear-Wheel Drive,41,,10,Electricity,0,0,0,0,Tesla,Model Y RWD,0,0,Automatic (A1),Small Sport Utility Vehicle 2WD,2022,,EV,N,0.0624,140,-1,129,119,0,10.0
10.0,-1.0,ZEV,California ZEV,15.0,,,All-Wheel Drive,59,,10,Electricity,26,94,0,0,Tesla,Model S Plaid (21in Wheels),0,0,Automatic (A1),Large Cars,2022,,EV,N,0.0791999999999999,102,-1,101,99,0,10.0
10.0,-1.0,T3B0,Federal Tier 3 Bin 0,15.0,,,All-Wheel Drive,60,,10,Electricity,26,94,0,0,Tesla,Model S Plaid (19in Wheels),0,0,Automatic (A1),Large Cars,2022,,EV,N,0.0696,119,-1,116,112,0,10.0
10.0,-1.0,T3B0,Federal Tier 3 Bin 0,15.0,,,All-Wheel Drive,58,,10,Electricity,26,94,0,0,Tesla,Model S,0,0,Automatic (A1),Large Cars,2022,,EV,N,0.0672,124,-1,120,115,0,10.0
10.0,-1.0,ZEV,California ZEV,10.4,,,Rear-Wheel Drive,31,,10,Electricity,0,0,0,15,Tesla,Model 3 RWD,0,97,Automatic (A1),Midsize Cars,2022,,EV,N,0.06,138,-1,132,126,0,10.0
10.0,-1.0,ZEV,California ZEV,10.0,,,All-Wheel Drive,38,,10,Electricity,0,0,0,15,Tesla,Model 3 Performance AWD,0,97,Automatic (A1),Midsize Cars,2022,,EV,N,0.072,118,-1,113,107,0,10.0
10.0,-1.0,ZEV,California ZEV,11.5,,,All-Wheel Drive,35,,10,Electricity,0,0,0,15,Tesla,Model 3 Long Range AWD,0,97,Automatic (A1),Midsize Cars,2022,,EV,N,0.0624,134,-1,131,126,0,10.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,6.0,3.4,All-Wheel Drive,131,SIDI & PFI,4,Premium,0,0,0,0,Lexus,LX 600,0,0,Automatic (S10),Standard Sport Utility Vehicle 4WD,2022,,,Y,15.65842105263158,17,476,19,22,T,4.0
7.0,-1.0,T3B30,Federal Tier 3 Bin 30,0.0,4.0,2.5,All-Wheel Drive,82,SIDI & PFI; Hybrid,8,Regular,0,0,0,0,Toyota,RAV4 Hybrid AWD,0,0,Automatic (AV-S6),Small Sport Utility Vehicle 4WD,2022,,Hybrid,Y,7.43775,41,222,40,38,0,8.0
6.0,-1.0,T3B50,Federal Tier 3 Bin 50,0.0,4.0,2.5,All-Wheel Drive,79,SIDI & PFI,6,Regular,0,0,0,0,Toyota,RAV4 AWD LE,0,0,Automatic (S8),Small Sport Utility Vehicle 4WD,2022,,,Y,9.917,27,295,30,34,0,6.0
6.0,-1.0,L3ULEV50,California LEV-III ULEV50,0.0,4.0,2.5,All-Wheel Drive,78,SIDI & PFI,6,Regular,0,0,0,0,Toyota,RAV4 AWD TRD OFFROAD,0,0,Automatic (S8),Small Sport Utility Vehicle 4WD,2022,,,N,10.625357142857142,25,322,28,32,0,6.0
6.0,-1.0,L3ULEV50,California LEV-III ULEV50,0.0,4.0,2.5,All-Wheel Drive,77,SIDI & PFI; Stop-Start,6,Regular,0,0,0,0,Toyota,RAV4 AWD,0,0,Automatic (S8),Small Sport Utility Vehicle 4WD,2022,,,Y,10.25896551724138,27,300,29,33,0,6.0
6.0,-1.0,T3B50,Federal Tier 3 Bin 50,0.0,4.0,2.5,All-Wheel Drive,76,SIDI & PFI,6,Regular,0,0,0,0,Toyota,RAV4 AWD,0,0,Automatic (S8),Small Sport Utility Vehicle 4WD,2022,,,N,10.625357142857142,25,318,28,33,0,6.0
5.0,-1.0,L3ULEV70,California LEV-III ULEV70,0.0,4.0,2.5,4-Wheel Drive,509,SIDI,5,Regular,0,0,0,0,Mazda,CX-5 4WD,0,0,Automatic (S6),Small Sport Utility Vehicle 4WD,2022,,,N,12.39625,22,369,24,27,T,5.0
7.0,-1.0,T3B30,Federal Tier 3 Bin 30,0.0,4.0,2.5,4-Wheel Drive,505,SIDI,5,Regular,0,0,0,0,Mazda,CX-5 4WD,0,0,Automatic (S6),Small Sport Utility Vehicle 4WD,2022,,,N,11.442692307692308,24,336,26,30,0,5.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Part-time 4-Wheel Drive,256,SIDI & PFI,3,Regular,0,0,0,0,Ford,Bronco Sasquatch 4WD,0,0,Manual 7-spd,Small Sport Utility Vehicle 4WD,2022,,,Y,16.528333333333336,17,493,18,18,T,3.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Part-time 4-Wheel Drive,151,SIDI & PFI,3,Regular,0,0,0,0,Ford,Bronco Badlands 4WD,0,0,Automatic (S10),Small Sport Utility Vehicle 4WD,2022,,,Y,17.500588235294117,17,518,17,17,T,3.0
5.0,-1.0,L3ULEV70,California LEV-III ULEV70,0.0,4.0,2.3,Part-time 4-Wheel Drive,150,SIDI & PFI,3,Regular,0,0,0,0,Ford,Bronco Sasquatch 4WD,0,0,Automatic (S10),Small Sport Utility Vehicle 4WD,2022,,,Y,16.528333333333336,18,493,18,17,T,3.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Part-time 4-Wheel Drive,149,SIDI & PFI,3,Regular,0,0,0,0,Ford,Bronco Black Diamond 4WD,0,0,Automatic (S10),Small Sport Utility Vehicle 4WD,2022,,,Y,16.528333333333336,18,492,18,18,T,3.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Part-time 4-Wheel Drive,148,SIDI & PFI,4,Regular,0,0,0,0,Ford,Bronco 4WD,0,0,Automatic (S10),Small Sport Utility Vehicle 4WD,2022,,,Y,14.8755,20,436,20,21,T,4.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Part-time 4-Wheel Drive,147,SIDI & PFI,3,Regular,0,0,0,0,Ford,Bronco Badlands 4WD,0,0,Manual 7-spd,Small Sport Utility Vehicle 4WD,2022,,,Y,17.500588235294117,16,537,17,17,T,3.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,2.3,Part-time 4-Wheel Drive,146,SIDI & PFI,3,Regular,0,0,0,0,Ford,Bronco Black Diamond 4WD,0,0,Manual 7-spd,Small Sport Utility Vehicle 4WD,2022,,,Y,16.528333333333336,17,493,18,19,T,3.0
5.0,-1.0,L3ULEV70,California LEV-III ULEV70,0.0,4.0,2.3,Part-time 4-Wheel Drive,145,SIDI & PFI,4,Regular,0,0,0,0,Ford,Bronco 4WD,0,0,Manual 7-spd,Small Sport Utility Vehicle 4WD,2022,,,Y,14.8755,20,438,20,21,T,4.0
6.0,-1.0,L3ULEV50,California LEV-III ULEV50,0.0,6.0,2.7,Part-time 4-Wheel Drive,143,SIDI & PFI,3,Regular,0,0,0,0,Ford,Bronco Badlands 4WD,0,0,Automatic (S10),Small Sport Utility Vehicle 4WD,2022,,,Y,17.500588235294117,17,528,17,17,T,3.0
6.0,-1.0,T3B50,Federal Tier 3 Bin 50,0.0,6.0,2.7,Part-time 4-Wheel Drive,142,SIDI & PFI,4,Regular,0,0,0,0,Ford,Bronco 4WD,0,0,Automatic (S10),Small Sport Utility Vehicle 4WD,2022,,,Y,15.65842105263158,19,455,19,20,T,4.0
7.0,-1.0,T3B30,Federal Tier 3 Bin 30,0.0,4.0,2.5,Front-Wheel Drive,75,SIDI & PFI; Stop-Start,6,Regular,0,0,0,0,Toyota,RAV4,0,0,Automatic (S8),Small Sport Utility Vehicle 2WD,2022,,,Y,9.917,27,291,30,35,0,6.0
7.0,-1.0,T3B30,Federal Tier 3 Bin 30,0.0,4.0,2.5,Front-Wheel Drive,74,SIDI & PFI,6,Regular,0,0,0,0,Toyota,RAV4,0,0,Automatic (S8),Small Sport Utility Vehicle 2WD,2022,,,N,9.917,27,295,30,35,0,6.0
6.0,-1.0,T3B50,Federal Tier 3 Bin 50,0.0,4.0,2.4,Front-Wheel Drive,405,,5,Regular,0,0,0,0,Ram,Promaster City,0,0,Automatic 9-spd,Special Purpose Vehicle 2WD,2022,,,N,12.39625,21,373,24,28,0,5.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,4.0,2.3,Part-time 4-Wheel Drive,86,SIDI,4,Regular,0,0,0,0,Ford,Ranger Tremor 4WD,0,0,Automatic (S10),Standard Pickup Trucks 4WD,2022,,,Y,15.65842105263158,19,467,19,19,T,4.0
5.0,-1.0,L3ULEV70,California LEV-III ULEV70,0.0,4.0,2.3,Part-time 4-Wheel Drive,85,SIDI & PFI,5,Regular,0,0,0,0,Ford,Ranger 4WD,0,0,Automatic (S10),Standard Pickup Trucks 4WD,2022,,,Y,13.52318181818182,20,410,22,24,T,5.0
6.0,-1.0,L3ULEV50,California LEV-III ULEV50,0.0,6.0,3.5,Rear-Wheel Drive,112,SIDI; Hybrid,5,Regular,0,0,0,0,Ford,F150 Pickup 2WD HEV,0,0,Automatic (S10),Standard Pickup Trucks 2WD,2022,,Hybrid,Y,11.9004,25,352,25,25,T,5.0
6.0,-1.0,L3ULEV50,California LEV-III ULEV50,0.0,4.0,2.3,Rear-Wheel Drive,87,SIDI & PFI,5,Regular,0,0,0,0,Ford,Ranger 2WD,0,0,Automatic (S10),Standard Pickup Trucks 2WD,2022,,,Y,12.935217391304349,21,386,23,26,T,5.0
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,4.0,2.0,Front-Wheel Drive,98,,6,Regular,19,86,0,0,Toyota,C-HR,0,0,Automatic (AV-S7),Compact Cars,2022,,,N,10.25896551724138,27,304,29,31,0,6.0
7.0,-1.0,T3B30,Federal Tier 3 Bin 30,4.5,4.0,2.5,All-Wheel Drive,106,SIDI & PFI,10,Regular Gas and Electricity,0,0,0,0,Toyota,RAV4 Prime 4WD,0,0,Automatic (AV-S6),Small Sport Utility Vehicle 4WD,2022,,Plug-in Hybrid,Y,5.651761327500001,145,71,132,120,0,10.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,2.5,8.0,3.9,All-Wheel Drive,173,SIDI; PHEV,4,Premium and Electricity,0,0,0,0,Ferrari,SF90 Stradale,0,0,Automatic (AM8),Two Seaters,2022,,Plug-in Hybrid,Y,18.771404051764705,67,402,69,71,T,5.0
6.0,-1.0,T3B50,Federal Tier 3 Bin 50,0.0,8.0,6.2,4-Wheel Drive,882,SIDI; Stop-Start,3,Premium,0,0,0,0,GMC,Yukon 4WD,0,0,Automatic 10-spd,Standard Sport Utility Vehicle 4WD,2022,,,Y,18.594375,14,554,16,19,0,3.0
6.0,-1.0,T3B50,Federal Tier 3 Bin 50,0.0,8.0,6.2,4-Wheel Drive,881,SIDI; Stop-Start,3,Premium,0,0,0,0,GMC,Yukon XL 4WD,0,0,Automatic 10-spd,Standard Sport Utility Vehicle 4WD,2022,,,Y,18.594375,14,554,16,19,0,3.0
6.0,-1.0,L3ULEV50,California LEV-III ULEV50,0.0,8.0,5.3,4-Wheel Drive,838,SIDI; Stop-Start,3,Regular,0,0,0,0,GMC,Yukon 4WD,0,0,Automatic 10-spd,Standard Sport Utility Vehicle 4WD,2022,,,Y,17.500588235294117,15,526,17,20,0,3.0
6.0,-1.0,T3B50,Federal Tier 3 Bin 50,0.0,8.0,5.3,4-Wheel Drive,837,SIDI; Stop-Start,3,Regular,0,0,0,0,GMC,Yukon XL 4WD,0,0,Automatic 10-spd,Standard Sport Utility Vehicle 4WD,2022,,,Y,18.594375,15,553,16,19,0,3.0
6.0,-1.0,T3B50,Federal Tier 3 Bin 50,0.0,4.0,2.3,Part-time 4-Wheel Drive,207,SIDI,4,Regular,0,0,0,0,Ford,Explorer Timberline AWD,0,0,Automatic (S10),Standard Sport Utility Vehicle 4WD,2022,,,N,14.8755,19,444,20,21,T,4.0
6.0,-1.0,T3B50,Federal Tier 3 Bin 50,0.0,4.0,2.3,Part-time 4-Wheel Drive,206,SIDI; Stop-Start,5,Regular,0,0,0,0,Ford,Explorer AWD,0,0,Automatic 10-spd,Standard Sport Utility Vehicle 4WD,2022,,,Y,13.52318181818182,20,403,22,26,T,5.0
6.0,-1.0,T3B50,Federal Tier 3 Bin 50,0.0,6.0,3.3,Part-time 4-Wheel Drive,162,SIDI & PFI; Hybrid,5,Regular,0,0,0,0,Ford,Explorer Platinum HEV AWD,0,0,Automatic (S10),Standard Sport Utility Vehicle 4WD,2022,,Hybrid,Y,12.935217391304349,23,378,23,24,0,5.0
6.0,-1.0,T3B50,Federal Tier 3 Bin 50,0.0,4.0,2.3,Part-time 4-Wheel Drive,103,SIDI; Stop-Start,4,Regular,0,0,0,0,Ford,Explorer Timberline AWD,0,0,Automatic (S10),Standard Sport Utility Vehicle 4WD,2022,,,Y,14.167142857142858,19,432,21,22,T,4.0
6.0,-1.0,L3ULEV50,California LEV-III ULEV50,0.0,4.0,2.3,Part-time 4-Wheel Drive,17,SIDI; Stop-Start,5,Regular,0,0,0,0,Ford,Explorer AWD,0,0,Automatic 10-spd,Standard Sport Utility Vehicle 4WD,2022,,,Y,12.935217391304349,20,386,23,27,T,5.0
6.0,-1.0,T3B50,Federal Tier 3 Bin 50,0.0,8.0,6.2,4-Wheel Drive,879,SIDI; Stop-Start,3,Premium,0,0,0,0,Chevrolet,Suburban 4WD,0,0,Automatic 10-spd,Standard Sport Utility Vehicle 4WD,2022,,,Y,18.594375,14,554,16,19,0,3.0
